
rand
Overlap100,Degree,Closeness,Betweenness,PageRank,k-core
40%,0.3202666666666666,0.18599999999999994,0.17606666666666676,0.33733333333333326,0.10406666666666667
30%,0.29886666666666656,0.1818,0.16466666666666668,0.3155333333333333,0.1064
20%,0.2699333333333333,0.18180000000000002,0.15593333333333337,0.28406666666666663,0.11073333333333334
10%,0.20093333333333335,0.1589333333333334,0.12666666666666668,0.21026666666666666,0.09713333333333336

dfs
Overlap500,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.3683333333333334,0.15846666666666664,0.19733333333333333,0.36913333333333337,0.103
90%,0.3616,0.16106666666666666,0.19433333333333339,0.36666666666666664,0.103
80%,0.35419999999999996,0.16940000000000002,0.1904,0.36433333333333334,0.103
70%,0.3462,0.18546666666666672,0.1852,0.35953333333333337,0.103
60%,0.33579999999999993,0.20653333333333337,0.1784666666666667,0.35166666666666674,0.103
50%,0.3228,0.2206,0.17180000000000006,0.34339999999999987,0.10346666666666665
40%,0.3079333333333333,0.22806666666666675,0.16920000000000002,0.33406666666666673,0.10379999999999999
30%,0.29253333333333326,0.231,0.16546666666666668,0.32259999999999994,0.11240000000000001
20%,0.27499999999999997,0.2299333333333334,0.16333333333333327,0.30573333333333325,0.1274
10%,0.2541333333333334,0.21893333333333345,0.15986666666666668,0.27620000000000006,0.14273333333333335

sec
Overlap500,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.3683333333333334,0.15846666666666664,0.19733333333333333,0.36913333333333337,0.103
90%,0.3646666666666667,0.15879999999999994,0.1946,0.3674,0.103
80%,0.35773333333333335,0.1593333333333333,0.19040000000000004,0.3650666666666667,0.103
70%,0.3517333333333333,0.1618,0.18573333333333336,0.3600000000000001,0.103
60%,0.34406666666666663,0.19213333333333343,0.18100000000000002,0.3556666666666667,0.103
50%,0.32986666666666664,0.22166666666666673,0.17520000000000005,0.3438666666666666,0.10293333333333332
40%,0.3143333333333333,0.23066666666666671,0.17200000000000007,0.3343999999999999,0.10293333333333332
30%,0.2912666666666667,0.24080000000000001,0.16486666666666666,0.31399999999999995,0.10293333333333332
20%,0.26126666666666665,0.24053333333333335,0.16353333333333334,0.28993333333333327,0.10293333333333332
10%,0.22446666666666676,0.21759999999999993,0.16093333333333334,0.2478000000000001,0.10766666666666666


rand
Overlap1000,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.37723333333333336,0.1574333333333333,0.22683333333333336,0.3812666666666667,0.17876666666666668
90%,0.35496666666666665,0.15056666666666663,0.2168,0.358,0.17169999999999994
80%,0.3318666666666666,0.1426333333333333,0.2061666666666667,0.33486666666666676,0.16543333333333335
70%,0.3082666666666667,0.13976666666666665,0.19123333333333337,0.30989999999999995,0.1572333333333333
60%,0.28253333333333336,0.13459999999999997,0.17839999999999998,0.2833333333333333,0.14886666666666665
50%,0.24916666666666665,0.12596666666666667,0.16133333333333333,0.24606666666666668,0.1367
40%,0.21253333333333332,0.11406666666666669,0.14053333333333332,0.20613333333333334,0.12490000000000001
