
Cover20,RANDOM,BSF,DFS,SEC
70%,0.9933333333333333,0.9886666666666669,0.9849999999999995,0.9840000000000001,0.9816666666666669,0.9781666666666669,0.9735333333333335
60%,0.9949999999999999,0.9866666666666668,0.9819999999999999,0.979,0.9743999999999999,0.9700666666666665,0.9632833333333332
50%,0.9933333333333333,0.978666666666667,0.9713333333333334,0.9641666666666666,0.9568666666666663,0.9476666666666665,0.9344999999999998
40%,0.99,0.9733333333333338,0.9606666666666666,0.9425,0.9251333333333331,0.9065,0.8818999999999997
30%,0.9816666666666666,0.9480000000000003,0.9310000000000003,0.9098333333333333,0.8761333333333333,0.8451000000000001,0.8027166666666667
20%,0.9566666666666666,0.9166666666666667,0.871,0.8323333333333333,0.7772000000000002,0.7254333333333333,0.6645833333333334
10%,0.8983333333333331,0.8059999999999999,0.7413333333333335,0.6769999999999999,0.5823999999999999,0.5100666666666666,0.43029999999999996
5%,0.7699999999999999,0.654,0.5683333333333334,0.48883333333333334,0.38926666666666676,0.3234333333333333,0.2580666666666666
2%,0.5150000000000001,0.4026666666666666,0.34633333333333327,0.2789999999999999,0.20420000000000005,0.15846666666666664,0.11761666666666667
1%,0.3316666666666667,0.24866666666666665,0.20799999999999993,0.1605,0.11453333333333332,0.08646666666666666,0.06285000000000002
0.5%,0.19,0.14600000000000002,0.11933333333333333,0.09050000000000002,0.061333333333333365,0.045533333333333335,0.032350000000000004
0.2%,0.07833333333333332,0.059333333333333356,0.050000000000000024,0.03766666666666667,0.026733333333333345,0.019466666666666677,0.01343333333333334
0.1%,0.03833333333333334,0.028666666666666674,0.02500000000000001,0.018500000000000006,0.01226666666666667,0.008500000000000004,0.006166666666666669

sec
,Cover20,Cover50,Cover100,Cover200,Cover500,Cover1000,Cover2000
100%,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90%,1.0,0.9960000000000001,0.9959999999999999,0.9956666666666666,0.9958666666666663,0.9952666666666663,0.9938000000000001
80%,0.9983333333333333,0.9926666666666668,0.9926666666666667,0.9931666666666668,0.9918,0.9904666666666665,0.9879666666666665
70%,0.9983333333333333,0.9906666666666669,0.989,0.9893333333333332,0.9867333333333335,0.9846666666666665,0.9807333333333333
60%,0.9949999999999999,0.9840000000000002,0.9819999999999998,0.9801666666666667,0.9744,0.9685333333333335,0.9614166666666664
50%,0.9933333333333333,0.9820000000000004,0.9723333333333333,0.9670000000000001,0.9608666666666666,0.9529999999999997,0.9431833333333335
40%,0.9899999999999999,0.9726666666666671,0.9573333333333334,0.9416666666666665,0.9275333333333333,0.9127666666666665,0.8962833333333333
30%,0.9816666666666666,0.9526666666666672,0.9286666666666665,0.8989999999999999,0.8762000000000002,0.8578666666666664,0.8324499999999999
20%,0.9699999999999996,0.9220000000000003,0.878,0.8256666666666665,0.7760666666666668,0.7407333333333334,0.6938499999999997
10%,0.895,0.796,0.7096666666666666,0.6356666666666667,0.5460666666666668,0.48850000000000005,0.42610000000000003
5%,0.6683333333333332,0.5720000000000002,0.49133333333333323,0.4311666666666666,0.3666666666666666,0.3203666666666667,0.2703166666666667
2%,0.31166666666666665,0.24333333333333335,0.21733333333333335,0.18866666666666668,0.16506666666666667,0.14516666666666664,0.11951666666666669
1%,0.16666666666666663,0.13466666666666668,0.11833333333333336,0.10833333333333334,0.09319999999999999,0.08103333333333335,0.06646666666666666
0.5%,0.08666666666666667,0.08466666666666668,0.07800000000000001,0.07016666666666668,0.06033333333333336,0.04996666666666667,0.03896666666666666
0.2%,0.04500000000000001,0.036666666666666674,0.03800000000000001,0.03200000000000001,0.027933333333333345,0.02136666666666667,0.01603333333333334
0.1%,0.025000000000000005,0.019333333333333334,0.019333333333333338,0.01816666666666667,0.014266666666666672,0.010533333333333337,0.00781666666666667
